wd:Q191067,pr:publication-type,wd:P1476,wd:P1680,wd:P50,Helper author,wd:P356,wd:P6962,wd:P136,wd:P304,wd:P433,wd:P478,wd:P577,wd:P582,wd:P580,wd:P527,Helper works included,wd:P921,Helper subject Item ID,pr:subject-place,pr:subject-of,Helper subject of,pr:note-trend,pr:source,pr:internal-source,wd:P291,wd:P17,pr:publication-location,wd:P123,Helper publisher,pr:loc-subject,wd:P856,wd:P655,Helper translator,wd:P736,Helper cover artist,wd:P110,Helper illustrator,wd:P767,Helper contributor,pr:author-location,wd:P407,wd:P7937,pr:dedication,wd:P7535,pr:note-contents,wd:P485,Helper holding institution,pr:note-holding-institution,pr:note-copy,wd:P170,Helper data curator,pr:fieldwork-date,pr:fieldwork-note,pr:library-loan,pr:library-copy-url
,,والآن ما العمل؟ إدارة ترامب ومسألة القدس;And Now What? The Trump Administration and the Question of Jerusalem,,5625,"Khalidi, Rashid",,,,,,,12/6/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,لا أستطيع الكتابة عن حسين البرغوثي;I Cannot Write about Hussein Bargouti,,5643,"Zaqtan, Ghassan",,,,,,,1/3/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,26/2/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,8/11/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مقدمة: معالم تاريخية في حرب المائة عام على فلسطين;Introduction: Historical Landmarks in the Hundred Years’ War on Palestine,,5625,"Khalidi, Rashid",,,,,,,8/11/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,سياسة إحياء الذكرى بين الفلسطينيين;The Politics of Commemoration among Palestinians,,10714,"Davis, Rochelle",,,,,,,8/11/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,17/10/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,12/6/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,12/4/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,9/12/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/8/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/5/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/2/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مقدمة;Introduction,,5625,"Khalidi, Rashid",,,,,,,1/2/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/11/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/8/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,بيت في اليرموك;A House in Yarmouk,,5643,"Zaqtan, Ghassan",,,,,,,1/6/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/5/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/2/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"صوفي حلبي، فنانة فلسطينية من القرن العشرين;Sophie Halaby, Palestinian Artist of the Twentieth Century",,7654,"Halaby, Samia",,,,,,,1/1/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"عقيدة الضاحية، والتناسب، وجرائم الحرب;The Dahiya Doctrine, Proportionality, and War Crimes",,5625,"Khalidi, Rashid",,,,,,,1/11/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,إسرائيل: دولة سجنيّة;Israel: A Carceral State,,5625,"Khalidi, Rashid",,,,,,,1/8/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/5/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/2/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/11/2013,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/9/2013,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"الولايات المتحدة والفلسطينيون، 1977-2012: اللحظات الرئيسية;The United States and the Palestinians, 1977-2012: The Key Moments",,5625,"Khalidi, Rashid",,,,,,,1/9/2013,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/8/2013,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,في الذاكرة: إلياس شوفاني;In Remembrance: Elias Shoufani,,5625,"Khalidi, Rashid",,,,,,,1/8/2013,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2013,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/9/2012,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/7/2012,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/6/2012,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2012,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"أودية شهوانية، أو المشي في القدس في التسعينيات;Carnal Valleys, or Walking in Jerusalem in the 1990s",,10714,"Davis, Rochelle",,,,,,,1/1/2012,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/11/2011,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/7/2011,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2011,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الثورات العربية 2011: ملاحظات تاريخية أولية;The Arab Revolutions 2011: Preliminary Historical Observations,,5625,"Khalidi, Rashid",,,,,,,1/3/2011,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2011,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ذكريات الطفولة: الحياة الشعبية، والتعليم، والوعي السياسي في القدس قبل 1948;ذكريات الطفولة: الحياة الشعبية، والتعليم، والوعي السياسي في القدس قبل 1948",,10714,"Davis, Rochelle",,,,,,,1/12/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,,,,Hawliyat al-Quds,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/11/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,قضية فلسطين في الأعمال الأنجلو – أميركية منذ سنة 1948;The Treatment of the Question of Palestine in Anglo-American Works since 1948,,5625,"Khalidi, Rashid",,,,,,,1/9/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/7/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,السياسة الأمريكية تجاه القدس;US Policy Towards Jerusalem,,5625,"Khalidi, Rashid",,,,,,,1/6/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/hq/about,,,,,,Hawliyat al-Quds,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2010,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/10/2009,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,إحياء ذكرى شفيق الحوت (1932-2009);Remembering Shafiq al-Hout (1932-2009),,5625,"Khalidi, Rashid",,,,,,,1/10/2009,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/7/2009,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2009,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2009,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,البئر الأولى؛ طفولة في بيت لحم;The First Well; a Bethlehem Boyhood,,5459,"Jabra, Jabra Ibrahim",,,,,,,1/1/2009,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,إحياء ذكرى محمود درويش;Remembering Mahmud Darwish,,5625,"Khalidi, Rashid",,,,,,,1/10/2008,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/10/2008,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/7/2008,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2008,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/2/2008,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/10/2007,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/6/2007,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2007,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2007,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/10/2006,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/6/2006,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/3/2006,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2006,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,نحو أرض الميعاد: رحلات نيكوس كازانتزاكيس إلى القدس;Toward the Promised Land: Nikos Kazantzakis Journeys to Jerusalem,,10714,"Davis, Rochelle",,,,,,,1/1/2006,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/9/2005,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/6/2005,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,روايات الفلاحين: مصادر الكتب التذكارية لتاريخ قرى القدس;روايات الفلاحين: مصادر الكتب التذكارية لتاريخ قرى القدس,,10714,"Davis, Rochelle",,,,,,,1/3/2005,,,,,,,,,,,https://www.palestine-studies.org/en/journals/hq/about,,,,,,Hawliyat al-Quds,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/3/2005,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/1/2005,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/10/2004,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,1/4/2004,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تعاون موسيقي وشخصي: دانيال بارنبويم يتحدث عن إدوارد سعيد;A Musical and Personal Collaboration: Daniel Barenboim Talks about Edward Said,,5625,"Khalidi, Rashid",,,,,,,1/4/2004,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,روايات الفلاحين: مصادر الكتب التذكارية لتاريخ قرى القدس;Peasant Narratives: Memorial Book Sources for Jerusalem Village History,,10714,"Davis, Rochelle",,,,,,,1/3/2004,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تغيير وجه المدينة المقدسة: الطوبوغرافيا المعمارية للقدس;Transforming the Face of the Holy City: Architectural Topography of Jerusalem,,5625,"Khalidi, Rashid",,,,,,,1/1/2004,,,,,,,,,,,https://www.palestine-studies.org/en/journals/hq/about,,,,,,Hawliyat al-Quds,,,,,,,,,,,,,,,,,,,,,,,,,,
,,روايات الفلاحين: مصادر الكتب التذكارية لتاريخ قرى القدس;Peasant Narratives: Memorial Book Sources for Jerusalem Village History,,10714,"Davis, Rochelle",,,,,,,1/1/2004,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تغيير وجه المدينة المقدسة: الرسائل السياسية في الطوبوغرافيا المعمارية للقدس;Transforming the Face of the Holy City: Political Messages in the Built Topography of Jerusalem,,5625,"Khalidi, Rashid",,,,,,,1/1/2003,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,نحو إستراتيجية فلسطينية واضحة;Toward a Clear Palestinian Strategy,,5625,"Khalidi, Rashid",,,,,,,1/7/2002,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
